IP_Address,Local_Preference,MED,AS_Path,Community,Output
100.10.3.4,133,3,43617,1:2 0:2,False
100.10.3.4,133,3,43617,1:2 0:22,False
100.10.3.4,133,3,43617,0:0,False
100.20.4.5,133,3,43617,1:2 0:211,False
100.20.4.5,133,3,43617,2:1 0:1122,False
100.20.4.5,133,3,43617,2:1 0:21211,False
100.10.3.4,133,3,43617,0:5,False
100.10.3.4,308,3,43617,0:0,False
100.10.3.4,133,4,43617,0:0,False
100.10.3.4,133,3,43617,1:1,False
100.10.3.4,308,3,43617,0:5,False
100.10.3.4,133,4,43617,0:5,False
100.20.4.5,261,4,56161,0:0,True
100.20.4.5,133,4,43645,0:0,False
100.10.3.4,133,1,43645,0:0,True
100.20.4.5,133,3,43617,0:6,False
100.20.4.5,133,3,43617,0:0 707:8,False
100.10.3.4,308,3,43617,1:1,False
100.10.3.4,133,4,43617,1:1,False
100.20.4.5,261,4,56161,0:5,True
100.20.4.5,133,4,43688,0:5,False
100.10.3.4,133,1,43617,0:5,True
100.20.4.5,133,1,43688,0:0,True
100.10.3.4,308,3,43617,0:6,False
100.10.3.4,133,4,43617,0:6,False
100.10.3.4,308,3,43617,0:0 707:8,False
100.10.3.4,133,4,43617,0:0 707:8,False
100.20.4.5,261,4,56161,1:1,True
100.20.4.5,133,4,43645,1:1,False
100.10.3.4,133,1,43617,1:1,True
100.20.4.5,133,1,43688,0:5,True
100.20.4.5,261,4,56161,0:6,True
100.20.4.5,133,4,43688,0:6,False
100.10.3.4,133,1,43688,0:6,True
100.20.4.5,261,4,56161,0:0 707:8,True
100.20.4.5,133,4,43645,0:0 707:8,False
100.10.3.4,133,1,43645,0:0 707:8,True
100.20.4.5,133,1,43645,1:1,True
100.20.4.5,133,1,43645,0:6,True
100.20.4.5,133,1,43617,0:0 707:8,True
