idx,frr,quagga,bird,batfish,gobgp,label,output
24941,"no,no","no,no","yes,yes","no,no","yes,yes",PL_M,nnnnyynnyy
6957,"no,no","no,no","yes,yes","yes,no","yes,yes",C_C,nnnnyyynyy
36138,"no,no","no,no","yes,yes","yes,yes","yes,yes",PM_M,nnnnyyyyyy
25255,"no,yes","no,yes","yes,yes","no,yes","yes,yes",PLC,nynyyynyyy
780,"no,yes","no,yes","yes,yes","yes,yes","no,yes",MC,nynyyyyyny
24392,"no,yes","no,yes","yes,yes","yes,yes","yes,yes",PLC,nynyyyyyyy
17542,"no,yes","yes,yes","yes,yes","yes,yes","yes,yes",PMA,nyyyyyyyyy
36728,"yes,no","no,no","yes,yes","no,no","yes,yes",PM_C,ynnnyynnyy
24186,"yes,no","no,no","yes,yes","yes,no","yes,yes",PL_C,ynnnyyynyy
23854,"yes,no","yes,no","yes,yes","no,no","yes,yes",PL_D,ynynyynnyy
35055,"yes,no","yes,no","yes,yes","yes,no","yes,yes",A_LMD,ynynyyynyy
9191,"yes,no","yes,no","yes,yes","yes,yes","yes,yes",LM_D,ynynyyyyyy
34901,"yes,no","yes,yes","yes,yes","no,yes","yes,yes",P_D,ynyyyynyyy
34084,"yes,no","yes,yes","yes,yes","yes,no","yes,yes",P_D,ynyyyyynyy
2684,"yes,no","yes,yes","yes,yes","yes,yes","yes,yes",M_MD,ynyyyyyyyy
34819,"yes,yes","no,no","yes,yes","no,no","yes,yes",P_L,yynnyynnyy
35001,"yes,yes","no,no","yes,yes","no,yes","yes,yes",P_D,yynnyynyyy
36137,"yes,yes","no,no","yes,yes","yes,no","yes,yes",PM_D,yynnyyynyy
36401,"yes,yes","no,no","yes,yes","yes,yes","yes,yes",PM_M,yynnyyyyyy
32870,"yes,yes","no,yes","yes,yes","no,yes","yes,yes",P,yynyyynyyy
23662,"yes,yes","no,yes","yes,yes","yes,yes","yes,yes",PL,yynyyyyyyy
37743,"yes,yes","yes,no","yes,yes","no,no","yes,yes",PM_D,yyynyynnyy
37862,"yes,yes","yes,no","yes,yes","yes,no","yes,yes",MA_LD,yyynyyynyy
37852,"yes,yes","yes,no","yes,yes","yes,yes","yes,yes",MC_D,yyynyyyyyy
111619,"yes,yes","yes,yes","yes,yes","no,no","yes,yes",PM_C,yyyyyynnyy
1165,"yes,yes","yes,yes","yes,yes","no,yes","no,yes",PL,yyyyyynyny
100051,"yes,yes","yes,yes","yes,yes","no,yes","yes,yes",P,yyyyyynyyy
68892,"yes,yes","yes,yes","yes,yes","yes,no","yes,yes",PMC_D,yyyyyyynyy
783,"yes,yes","yes,yes","yes,yes","yes,yes","no,yes",MA,yyyyyyyyny
