idx,frr,quagga,bird,batfish,gobgp,label,output
714,"yes,yes","yes,yes","yes,yes","yes,yes","no,yes",C,yyyyyyyyny
717,"yes,yes","yes,yes","yes,yes","yes,yes","no,yes",A,yyyyyyyyny
780,"no,yes","no,yes","yes,yes","yes,yes","no,yes",MC,nynyyyyyny
783,"yes,yes","yes,yes","yes,yes","yes,yes","no,yes",MA,yyyyyyyyny
1165,"yes,yes","yes,yes","yes,yes","no,yes","no,yes",PL,yyyyyynyny
1222,"yes,yes","yes,yes","yes,yes","yes,yes","no,yes",PL,yyyyyyyyny
1268,"yes,yes","no,yes","yes,yes","no,yes","yes,yes",PL,yynyyynyyy
1333,"no,yes","no,yes","yes,yes","yes,yes","yes,yes",LC,nynyyyyyyy
1340,"yes,no","yes,no","yes,yes","yes,yes","yes,yes",L_D,ynynyyyyyy
1341,"yes,no","yes,no","yes,yes","yes,yes","yes,yes",L_D,ynynyyyyyy
1342,"yes,no","yes,no","yes,yes","yes,yes","yes,yes",L_D,ynynyyyyyy
1344,"yes,no","yes,yes","yes,yes","yes,yes","yes,yes",L_MD,ynyyyyyyyy
2446,"yes,no","yes,yes","yes,yes","yes,no","yes,yes",A_D,ynyyyyynyy
2680,"yes,yes","yes,no","yes,yes","yes,yes","yes,yes",M_D,yyynyyyyyy
2681,"yes,no","yes,no","yes,yes","yes,yes","yes,yes",M_D,ynynyyyyyy
2682,"yes,no","yes,no","yes,yes","yes,yes","yes,yes",M_D,ynynyyyyyy
2684,"yes,no","yes,yes","yes,yes","yes,yes","yes,yes",M_MD,ynyyyyyyyy
3940,"yes,yes","no,yes","yes,yes","yes,yes","yes,yes",PL,yynyyyyyyy
3998,"yes,yes","yes,yes","yes,yes","yes,no","yes,yes",PL_C,yyyyyyynyy
4073,"yes,yes","no,yes","yes,yes","yes,yes","yes,yes",PL,yynyyyyyyy
4124,"yes,yes","yes,yes","yes,yes","yes,no","yes,yes",PL_C,yyyyyyynyy
4200,"yes,yes","no,yes","yes,yes","yes,yes","yes,yes",PL,yynyyyyyyy
4214,"yes,yes","yes,yes","yes,yes","no,yes","yes,yes",PL,yyyyyynyyy
4225,"yes,yes","yes,yes","yes,yes","no,yes","yes,yes",PL,yyyyyynyyy
4239,"yes,yes","yes,yes","yes,yes","yes,no","yes,yes",LC_C,yyyyyyynyy
4249,"yes,no","yes,no","yes,yes","yes,yes","yes,yes",L_LMC,ynynyyyyyy
4250,"yes,yes","yes,no","yes,yes","yes,yes","yes,yes",L_LD,yyynyyyyyy
4251,"yes,no","yes,no","yes,yes","yes,yes","yes,yes",L_MD,ynynyyyyyy
4252,"yes,no","yes,no","yes,yes","yes,yes","yes,yes",L_LD,ynynyyyyyy
4253,"yes,no","yes,no","yes,yes","yes,yes","yes,yes",L_MD,ynynyyyyyy
4254,"yes,no","yes,no","yes,yes","yes,yes","yes,yes",L_LD,ynynyyyyyy
4255,"yes,no","yes,no","yes,yes","yes,yes","yes,yes",L_MD,ynynyyyyyy
6566,"yes,yes","yes,yes","yes,yes","yes,no","yes,yes",P_C,yyyyyyynyy
6584,"yes,yes","yes,yes","yes,yes","no,yes","yes,yes",P,yyyyyynyyy
6603,"yes,yes","yes,yes","yes,yes","no,yes","yes,yes",P,yyyyyynyyy
6704,"yes,yes","no,yes","yes,yes","no,yes","yes,yes",P,yynyyynyyy
6841,"yes,yes","yes,yes","yes,yes","no,no","yes,yes",P_C,yyyyyynnyy
